No,도메인,용어,설명,영문,약어,비고
,,,,connection service,,
,,요청,,,,
,,응답,,,,
,,인증,,,,
,,재연결,,,,
,,재시도,,,,
,,,,transfer,,
,,,,transfer service,,
,,,,upload,,
,,,,download,,
,,,,setting,,
,,,,theme,,
,,,,language,,
,,,,key binding,,
,,,,feature,,
,,,,extension,,
,,,,feature extension,,
,,,,text editor,,
,,,,memo,,
,,,,workspace,,
,,창,,window,,
,,조합,,,,
,,,,preset,,
,,,,user interface,ui,
,,,,presentation,,
,,,,menu bar,,
,,,,tool bar,,
,,,,side bar,,
,,,,tab,,
,,,,panel,,
,,대화 상자,,dialog,,
,,상태,,,,
,,상태 관리,,,,
,,접근성,,,,
,,,,,A11y,
,,,,,i18n,
,,,,,pubsub,
,,,,,db,
,,,,file,,
