No,도메인,용어,설명,영문,약어,비고
32,,생성 조회 갱신 삭제,"컴퓨터 소프트웨어의 기본적인 4가지 데이터 처리 기능. 생성(Create), 읽기(Read), 갱신(Update), 삭제(Delete)가 그것이다. 이는 영구적인 저장소에 데이터를 저장, 조회, 수정, 삭제하는 작업을 통칭하는 용어로, 대부분의 애플리케이션에서 필수적인 기능이다.",create retrieve update delete,crud,
33,,저장소,데이터 집합을 체계적으로 보관하고 유지하는 중앙 장소. 데이터 자체를 접근 가능한 저장 장소에 모으는 것일 수도 있고 데이터를 선택적으로 추출하는 기능을 의미할 수도 있음.,repository,repo,
34,,이벤트 버스,"여러 컴포넌트(프로그램의 구성 요소)가 서로 직접 연결되지 않고도 이벤트를 주고받을 수 있게 해주는 통신 매커니즘. 하나 이상의 컴포넌트(구성 요소 혹은 애플리케이션)과 중앙의 이벤트 버스로 이루어진다. 이벤트가 발생하면 이벤트 버스로 보내지고, 버스는 이 이벤트를 필요한 다른 컴포넌트(게시자 또는 수신자)에게 전달하여 통신을 중계하는 역할을 한다. 이러한 아키텍처를 적용하면 느슨한 결합, 게시-구독 패턴 (Pub-Sub Pattern), 비동기 통신 등의 특징을 가지게 된다.",event bus,,
35,,커맨드 버스,"소프트웨어 아키텍처 패턴의 하나로, 커맨드 버스가 요청(Command, 애플리케이션에서 상태를 변경하는 요청)을 해당 커맨드를 처리할 핸들러로 전달하는 통로 역할을 하는 패턴. 하나 이상의 컴포넌트(구성 요소, 애플리케이션)와 커맨드 버스로 구성된다. 커맨드 버스는 애플리케이션의 다양한 부분에서 발생하는 커맨드 메시지를 적절한 처리기로 보내 데이터 변경을 유도하며, 이는 시스템의 구조를 명확히 하고 유지보수성을 향상시키는 데 기여한다. 명령과 처리가 분리되는 특징을 가진다. (이는 특히 CQRS 패턴에서 핵심적으로 사용된다.)",command bus,,
36,,로그,이벤트에 대한 연대순 기록(레코드),log of event,log,
37,,로깅,"문제, 오류 또는 현재 운영에 대한 광범위한 정보 와 같이 컴퓨터 시스템에서 발생하는 이벤트 의 로그를 만들거나 추가하거나 유지하는 행위.",logging,,
38,,구조,"데이터가 가져야 할 구조와 제약 조건을 명세한 규칙 집합. 어떤 필드가 존재해야 하는지, 필드 타입은 무엇인지, 필수/선택은 무엇인지, 값의 제약은 무엇인지까지 포함한다.",schema,,
39,,설정 구조,사용자가 바꿀 수 있는 설정 항목과 항목에 대한 값 쌍들이 가져야 하는 데이터의 구조와 제약을 정의한 설계도,setting schema,,
40,,템플릿 구조,연결 템플릿 등 여러 템플릿이 가지는 항목과 항목에 대한 값 쌍들이 가져야 하는 데이터의 구조와 제약을 정의한 설계도,template schema,,
41,,설정 검증,사용자가 가진 설정 구조의 항목과 항목에 대한 값 쌍들이 적절한 구조와 제약조건을 준수하는지를 확인하는 과정 혹은 행위,setting verification,,
42,,템플릿 검증,사용자가 가진 템플릿 구조의 항목과 항목에 대한 값 쌍들이 적절한 구조와 제약조건을 준수하는지를 확인하는 과정 혹은 행위,template verification,,
43,,마이그레이션,이주. 하나의 환경에서 다른 환경으로 이주하는 것을 의미한다.,migration,migration,
44,,구조 마이그레이션,"구조(스키마)의 변경사항을 관리하는 행위 중 하나로, 스키마 마이그레이션은 설정 구조(스키마)나 템플릿 구조(스키마)를 최신 버전으로 업데이트 하거나 이전 버전으로 되돌릴 필요가 있을 때 수행된다.",schema migration,,
45,,연결 서비스,세션을 만들기 위한 연결 구성 작업과 관련된 여러 로직을 처리하는 서비스.,connection service,,
46,,요청,클라이언트가 서버에게 특정 동작을 요구하는 메시지 또는 메시지를 통해 특정 동작을 요구하는 행위,request,,
47,,처리,"클라이언트의 요청(Request)을 해석하고, 내부 로직(DB 조회, 비즈니스 로직 실행 등)을 수행하는 단계로, 외부적으로는 직접 노출되지 않고, 요청과 응답 사이에 있는 “서버 내부 동작”이다.",processing,,
48,,응답,서버가 요청을 처리한 뒤 결과를 클라이언트에게 돌려주는 메시지 또는 메시지를 보내는 행위,response,,
49,,재연결,"서버와 클라이언트 간의 통신 채널을 복원하는 것을 의미한다. 전통적인 의미로는 이미 연결되어 있던 것을 다시 연결하는 것이나, 이전에 연결되었으나 현재는 연결이 끊긴 것을 다시 연결하는 것을 의미한다. 이는 주로 네트워크 연결, 기기 연결, 혹은 프로그램 간의 연결 등 다양한 상황에서 사용될 수 있다. 예를 들어, 와이파이 연결이 끊겼을 때 다시 연결하거나, 이전에 페어링했던 블루투스 기기를 다시 연결하는 경우등이 이에 해당한다.",reconnect,,
50,,재시도,"특정 작업(Operation)이나 요청(Request)이 실패했을 때, 그 작업을 다시 실행하는 것을 말한다.",retry,,
,,전송,,transfer,,
,,전송 서비스,,transfer service,,
,,업로드,,upload,,
,,다운로드,,download,,
,,설정,"사용자가 자신의 경험을 바꾸기 위해 조정하는 옵션을 뜻한다. 최종 사용자가 직접 변경하며 개인화, 선호도와 관련이 있다. 실행 중에도 바뀔 수 있다.",setting,,
,,구성 설정,시스템이 동작하기 위해 필요한 설정값 또는 설정하는 행위를 뜻함. 환경·시스템 중심의 불변/반불변 설정을 가리킨다. 앱 시작 시 로딩되는 경우가 많다.,config,,
,,,,theme,,
,,,,language,,
,,,,key binding,,
,,,,feature,,
,,,,extension,,
,,,,feature extension,,
,,,,text editor,,
,,,,memo,,
,,,,workspace,,
,,창,,window,,
,,조합,,,,
,,,,preset,,
,,,,user interface,ui,
,,,,presentation,,
,,,,menu bar,,
,,,,tool bar,,
,,,,side bar,,
,,,,tab,,
,,,,panel,,
,,대화 상자,,dialog,,
,,상태,,,,
,,상태 관리,,,,
,,접근성,,,,
,,,,,A11y,
,,,,,i18n,
,,,,,pubsub,
,,,,,db,
,,,,file,,
,,정의,,,,
